FAMILIA;CULTIVOS;SUPERFICIE SEMBRADA (TAS);SUPERFICIE COSECHADAS (TAS);VOLUMEN OBTENIDO;UNIDAD DE MEDIDA;VALOR PRODUCCION RD$;TRIMESTRE;AÑO
CEREALES;Maíz;22109;8217;22123;QUINTAL;22638825;abril-junio;2019
LEGUMINOSAS;Guandul;13546;14649;14217;QUINTAL;17458050;abril-junio;2019
LEGUMINOSAS;Habas;0;10;9;QUINTAL;14400;abril-junio;2019
LEGUMINOSAS;Habichuela Blanca;136;127;203;QUINTAL;635000;abril-junio;2019
LEGUMINOSAS;Habichuela Negra;18468;879;1299;QUINTAL;4159100;abril-junio;2019
LEGUMINOSAS;Habichuela Roja;6167;2010;4884;QUINTAL;18230500;abril-junio;2019
RAICES Y TUBERCULOS;Batata;1692;3106;29332;QUINTAL;21683475;abril-junio;2019
RAICES Y TUBERCULOS;Mapuey;84;90;410;QUINTAL;792000;abril-junio;2019
RAICES Y TUBERCULOS;Ñame Blanco;3876;1692;11605;QUINTAL;15844910;abril-junio;2019
RAICES Y TUBERCULOS;Papa;895;1214;46132;QUINTAL;45451800;abril-junio;2019
RAICES Y TUBERCULOS;Yautía Amarilla;256;113;1145;QUINTAL;1979100;abril-junio;2019
RAICES Y TUBERCULOS;Yautía Blanca;4237;1397;11257;QUINTAL;21249300;abril-junio;2019
RAICES Y TUBERCULOS;Yautía Coco;21;28;416;QUINTAL;873000;abril-junio;2019
RAICES Y TUBERCULOS;Yuca;13909;8926;67980;QUINTAL;59882805;abril-junio;2019
HORTALIZAS;Ají;15;136;385;QUINTAL;772700;abril-junio;2019
HORTALIZAS;Ají  Cubanela;248;2079;12894;QUINTAL;14839500;abril-junio;2019
HORTALIZAS;Ají Gustoso;28;667;1445;QUINTAL;2388000;abril-junio;2019
HORTALIZAS;Ají Morrón;0;826;12600;QUINTAL;29778800;abril-junio;2019
HORTALIZAS;Ají Picante;465;843;4847;QUINTAL;10504900;abril-junio;2019
HORTALIZAS;Ajo;10;1820;15040;QUINTAL;157920000;abril-junio;2019
HORTALIZAS;Apio;156;208;7527;QUINTAL;3334900;abril-junio;2019
HORTALIZAS;Auyama;7246;4745;37078;QUINTAL;34916750;abril-junio;2019
HORTALIZAS;Berenjena;366;1345;6797;QUINTAL;5788451;abril-junio;2019
HORTALIZAS;Brócoli;251;163;2326;QUINTAL;4341600;abril-junio;2019
HORTALIZAS;Calabaza;17;0;0;QUINTAL;0;abril-junio;2019
HORTALIZAS;Cebolla;2455;3076;27559;QUINTAL;63335100;abril-junio;2019
HORTALIZAS;Cilantro (Semilla);15;15;60;QUINTAL;100800;abril-junio;2019
HORTALIZAS;Coliflor;87;119;1729;QUINTAL;2739800;abril-junio;2019
HORTALIZAS;Cundeamor;20;67;230;QUINTAL;228000;abril-junio;2019
HORTALIZAS;Molondrón;447;2788;8488;QUINTAL;7636775;abril-junio;2019
HORTALIZAS;Pepino;345;369;5454;QUINTAL;3119300;abril-junio;2019
HORTALIZAS;Rábano Cepa;2;16;640;QUINTAL;995840;abril-junio;2019
HORTALIZAS;Remolacha;160;194;7036;QUINTAL;3266000;abril-junio;2019
HORTALIZAS;Repollo;299;472;66600;QUINTAL;973500;abril-junio;2019
HORTALIZAS;Tayota;1285;7892;9097;QUINTAL;8624600;abril-junio;2019
HORTALIZAS;Tomate Ensalada;104;316;4410;QUINTAL;4859500;abril-junio;2019
HORTALIZAS;Tomate Industrial;81;210;1782;QUINTAL;1779375;abril-junio;2019
HORTALIZAS;Zanahoria;619;1628;32852;QUINTAL;16839050;abril-junio;2019
HORTALIZAS;Zuchini;10;17;170;QUINTAL;114000;abril-junio;2019
HORTALIZAS;Vainita;47;232;546;QUINTAL;849000;abril-junio;2019
OLEAGINOSAS;Maní;3398;2057;2922;QUINTAL;7444500;abril-junio;2019
AGROINDUSTRIALES;Cacao;2097;119702;35799;QUINTAL;179940050;abril-junio;2019
AGROINDUSTRIALES;Café;491;94;175;QUINTAL;904000;abril-junio;2019
AGROINDUSTRIALES;Café Orgánico;464;38;76;QUINTAL;266000;abril-junio;2019
FRUTALES;Buen Pan;0;3;151;QUINTAL;7000;abril-junio;2019
